id;company_id;company_uu_id;company_name;type;source;tender_code;pro_name;reward_value;reward_date
1;86437;Officer;Home;44323;interface Buckinghamshire Checking Account;copying Mississippi Organic;transmit Coordinator Forward;49395;2020-02-26
2;15821;full-range Rustic Global;facilitate Diverse;43217;online overriding;Baby transmitting;RSS systemic;37333;2020-02-27
3;81962;withdrawal;Tajikistan;90080;hard drive;navigating Program Small;driver plum;48844;2020-02-27
4;44644;Village;Business-focused challenge;73707;Coordinator Road;Radial;Games;46268;2020-02-27
5;94997;multi-byte optical Morocco;e-markets navigating Generic Cotton Sausages;3454;payment;generating Swedish Krona systems;digital;32381;2020-02-26
6;79412;Buckinghamshire regional transmitting;Tanzanian Shilling Assurance Functionality;45938;viral foreground;Technician back up connect;Soft Kuwait Island;7835;2020-02-26
7;58186;Awesome Unbranded Berkshire;Plastic Refined payment;76237;synthesize Branding;bleeding-edge;Mission Home Loan Account;5705;2020-02-27
8;53753;Kids white deposit;Tactics;86470;Checking Account;green Music;Chair ubiquitous;82451;2020-02-27
9;63602;District Wyoming;firewall;9409;input;metrics payment;Avon Corporate;88387;2020-02-26
10;80656;Oregon protocol;Legacy Small interactive;38988;orange paradigms;alarm;Chief;73884;2020-02-26
