id;action;company;create_time;request;is_success;remark
1;Electronics neural-net alarm;57296;2020-02-26;Missouri;27619;Usability Electronics Small Plastic Sausages
2;Angola Extensions;39048;2020-02-26;Sleek;56122;Wisconsin Mouse
3;Implementation card;55110;2020-02-27;Latvian Lats Investment Account;62590;Money Market Account relationships
4;content Dobra;19269;2020-02-26;dynamic;15278;Lithuanian Litas
5;Facilitator pink;79796;2020-02-26;generating;91747;Berkshire brand overriding
6;Auto Loan Account logistical capacitor;72849;2020-02-26;fuchsia Lakes user-centric;20297;Money Market Account
7;Indonesia;75249;2020-02-26;Egypt;30424;green best-of-breed bandwidth
8;applications;86925;2020-02-26;tan THX;91187;tan
9;paradigms;87623;2020-02-26;Checking Account;51602;Bedfordshire
10;Chicken Lead;17583;2020-02-27;clicks-and-mortar plum;2218;3rd generation copying redundant
