id;company_id;company_uuid;company_name;type;source;tender_code;pro_name;reward_value;reward_date;sort
1;42882;Handcrafted User-centric;Borders generating;24118;Gold solutions;payment;Massachusetts program;56655;2020-02-27;2020-02-27T21:58:29
2;41456;Sleek Frozen Gloves synthesize Inverse;repurpose Compatible Optimization;8722;District Fundamental;generate;4th generation Architect;60975;2020-02-27;2020-02-27T18:30:50
3;22986;Kids;Baby Cook Islands;59834;Maine;Reverse-engineered out-of-the-box;secured line hybrid auxiliary;94521;2020-02-27;2020-02-27T08:38:29
4;88446;disintermediate Squares bluetooth;Proactive;54929;Berkshire;Coordinator;Personal Loan Account connecting;23066;2020-02-27;2020-02-28T00:46:06
5;47194;Incredible;Taiwan ubiquitous Cambridgeshire;27627;global Hawaii panel;Legacy TCP Avon;Shirt Netherlands Antillian Guilder invoice;25081;2020-02-27;2020-02-27T14:44:29
6;76319;port;Plain Home Loan Account;22721;Cambridgeshire Soft Orchestrator;mission-critical Direct;reciprocal Tasty olive;13856;2020-02-27;2020-02-27T11:15:06
7;3013;networks;Outdoors Reverse-engineered;41037;Down-sized overriding;Investment Account;B2B turquoise;21116;2020-02-27;2020-02-27T05:16:37
8;67566;Unbranded;monitor;59541;Coordinator white;extensible generate Shirt;integrate Home Loan Account focus group;54485;2020-02-28;2020-02-27T22:28:47
9;79048;Trail RSS application;Fresh Saint Barthelemy;30072;violet Personal Loan Account Home Loan Account;Checking Account;Wooden;49348;2020-02-27;2020-02-27T18:53:11
10;76225;Tactics;Group Cambridgeshire;81197;bypassing Fantastic Plastic Tuna;Fantastic;bleeding-edge neural;6165;2020-02-27;2020-02-27T03:44:34
