id;company_id;company_uuid;company_name;type;integral_value;ranking;create_time
1;43902;morph challenge Pizza;French Polynesia;17618;91526;4327;2020-02-27
2;75413;Shirt optical New Zealand;Chips transmitter proactive;66145;85080;96627;2020-02-27
3;86164;Myanmar withdrawal;overriding architect;34428;79724;9332;2020-02-27
4;95946;Human Saudi Riyal;Horizontal methodologies EXE;58063;11345;35899;2020-02-27
5;911;mobile hacking Sleek Frozen Tuna;redefine;17356;69062;12887;2020-02-27
6;91933;Ball;Summit;29619;21094;52136;2020-02-26
7;64779;wireless XML Berkshire;panel deposit Optional;44342;75738;2879;2020-02-26
8;90666;online connecting;Ergonomic Neck strategic;53055;82646;82767;2020-02-27
9;96645;Garden e-enable Connecticut;convergence;99184;61475;15831;2020-02-27
10;70026;disintermediate morph;payment Ergonomic Concrete Shoes Handcrafted Plastic Bacon;14214;20004;10872;2020-02-27
