id;company_id;type;company_uuid;company_name;integtal_value;ranking;create_time;sort
1;12265;7957;Developer microchip Fantastic;architectures;34552;3292;2020-02-27;2020-02-27T09:48:51
2;58946;33057;iterate;real-time;31234;20598;2020-02-27;2020-02-28T03:04:34
3;76163;36870;USB Table New York;Product deposit;60690;19480;2020-02-27;2020-02-27T16:58:24
4;35870;38977;Avon;bus;49054;33601;2020-02-27;2020-02-27T04:24:03
5;66433;85255;Home Loan Account high-level;Cambridgeshire invoice;6194;38126;2020-02-27;2020-02-28T01:49:45
6;63763;92000;project dot-com;Mauritius Avon Usability;51130;51182;2020-02-27;2020-02-28T03:15:35
7;73827;56425;seize Generic Soft Sausages;Mandatory;86893;56914;2020-02-27;2020-02-28T02:28:10
8;63076;78346;Cape visionary digital;Chief seize eyeballs;78748;180;2020-02-27;2020-02-28T01:58:47
9;89106;63575;CFP Franc Turks and Caicos Islands;South Dakota;16556;94634;2020-02-27;2020-02-27T23:01:52
10;87611;11789;back up backing up;Profit-focused Soft;18241;56030;2020-02-27;2020-02-27T17:55:28
